'duration','wage-increase-first-year','wage-increase-second-year','wage-increase-third-year','cost-of-living-adjustment','working-hours','pension','standby-pay','shift-differential','education-allowance','statutory-holidays','vacation','longterm-disability-assistance','contribution-to-dental-plan','bereavement-assistance','contribution-to-health-plan','class'
double,double,double,double,String,double,String,double,double,String,double,String,String,String,String,String,String
1.0,5.0,0.0,0.0,?,40.0,?,0.0,2.0,?,11.0,'average',?,?,'yes',?,'good'
2.0,4.5,5.8,0.0,?,35.0,'ret_allw',0.0,0.0,'yes',11.0,'below_average',?,'full',?,'full','good'
0.0,0.0,0.0,0.0,?,38.0,'empl_contr',0.0,5.0,?,11.0,'generous','yes','half','yes','half','good'
3.0,3.7,4.0,5.0,'tc',0.0,?,0.0,0.0,'yes',0.0,?,?,?,'yes',?,'good'
3.0,4.5,4.5,5.0,?,40.0,?,0.0,0.0,?,12.0,'average',?,'half','yes','half','good'
2.0,2.0,2.5,0.0,?,35.0,?,0.0,6.0,'yes',12.0,'average',?,?,?,?,'good'
3.0,4.0,5.0,5.0,'tc',0.0,'empl_contr',0.0,0.0,?,12.0,'generous','yes','none','yes','half','good'
3.0,6.9,4.8,2.3,?,40.0,?,0.0,3.0,?,12.0,'below_average',?,?,?,?,'good'
2.0,3.0,7.0,0.0,?,38.0,?,12.0,25.0,'yes',11.0,'below_average','yes','half','yes',?,'good'
1.0,5.7,0.0,0.0,'none',40.0,'empl_contr',0.0,4.0,?,11.0,'generous','yes','full',?,?,'good'
3.0,3.5,4.0,4.6,'none',36.0,?,0.0,3.0,?,13.0,'generous',?,?,'yes','full','good'
2.0,6.4,6.4,0.0,?,38.0,?,0.0,4.0,?,15.0,?,?,'full',?,?,'good'
2.0,3.5,4.0,0.0,'none',40.0,?,0.0,2.0,'no',10.0,'below_average','no','half',?,'half','bad'
3.0,3.5,4.0,5.1,'tcf',37.0,?,0.0,4.0,?,13.0,'generous',?,'full','yes','full','good'
1.0,3.0,0.0,0.0,'none',36.0,?,0.0,10.0,'no',11.0,'generous',?,?,?,?,'good'
2.0,4.5,4.0,0.0,'none',37.0,'empl_contr',0.0,0.0,?,11.0,'average',?,'full','yes',?,'good'
1.0,2.8,0.0,0.0,?,35.0,?,0.0,2.0,?,12.0,'below_average',?,?,?,?,'good'
1.0,2.1,0.0,0.0,'tc',40.0,'ret_allw',2.0,3.0,'no',9.0,'below_average','yes','half',?,'none','bad'
1.0,2.0,0.0,0.0,'none',38.0,'none',0.0,0.0,'yes',11.0,'average','no','none','no','none','bad'
2.0,4.0,5.0,0.0,'tcf',35.0,?,13.0,5.0,?,15.0,'generous',?,?,?,?,'good'
2.0,4.3,4.4,0.0,?,38.0,?,0.0,4.0,?,12.0,'generous',?,'full',?,'full','good'
2.0,2.5,3.0,0.0,?,40.0,'none',0.0,0.0,?,11.0,'below_average',?,?,?,?,'bad'
3.0,3.5,4.0,4.6,'tcf',27.0,?,0.0,0.0,?,0.0,?,?,?,?,?,'good'
2.0,4.5,4.0,0.0,?,40.0,?,0.0,4.0,?,10.0,'generous',?,'half',?,'full','good'
1.0,6.0,0.0,0.0,?,38.0,?,8.0,3.0,?,9.0,'generous',?,?,?,?,'good'
3.0,2.0,2.0,2.0,'none',40.0,'none',0.0,0.0,?,10.0,'below_average',?,'half','yes','full','bad'
2.0,4.5,4.5,0.0,'tcf',0.0,?,0.0,0.0,'yes',10.0,'below_average','yes','none',?,'half','good'
2.0,3.0,3.0,0.0,'none',33.0,?,0.0,0.0,'yes',12.0,'generous',?,?,'yes','full','good'
2.0,5.0,4.0,0.0,'none',37.0,?,0.0,5.0,'no',11.0,'below_average','yes','full','yes','full','good'
3.0,2.0,2.5,0.0,?,35.0,'none',0.0,0.0,?,10.0,'average',?,?,'yes','full','bad'
3.0,4.5,4.5,5.0,'none',40.0,?,0.0,0.0,'no',11.0,'average',?,'half',?,?,'good'
3.0,3.0,2.0,2.5,'tc',40.0,'none',0.0,5.0,'no',10.0,'below_average','yes','half','yes','full','bad'
2.0,2.5,2.5,0.0,?,38.0,'empl_contr',0.0,0.0,?,10.0,'average',?,?,?,?,'bad'
2.0,4.0,5.0,0.0,'none',40.0,'none',0.0,3.0,'no',10.0,'below_average','no','none',?,'none','bad'
3.0,2.0,2.5,2.1,'tc',40.0,'none',2.0,1.0,'no',10.0,'below_average','no','half','yes','full','bad'
2.0,2.0,2.0,0.0,'none',40.0,'none',0.0,0.0,'no',11.0,'average','yes','none','yes','full','bad'
1.0,2.0,0.0,0.0,'tc',40.0,'ret_allw',4.0,0.0,'no',11.0,'generous','no','none','no','none','bad'
1.0,2.8,0.0,0.0,'none',38.0,'empl_contr',2.0,3.0,'no',9.0,'below_average','yes','half',?,'none','bad'
3.0,2.0,2.5,2.0,?,37.0,'empl_contr',0.0,0.0,?,10.0,'average',?,?,'yes','none','bad'
2.0,4.5,4.0,0.0,'none',40.0,?,0.0,4.0,?,12.0,'average','yes','full','yes','half','good'
1.0,4.0,0.0,0.0,'none',0.0,'none',0.0,0.0,'yes',11.0,'average','no','none','no','none','bad'
2.0,2.0,3.0,0.0,'none',38.0,'empl_contr',0.0,0.0,'yes',12.0,'generous','yes','none','yes','full','bad'
2.0,2.5,2.5,0.0,'tc',39.0,'empl_contr',0.0,0.0,?,12.0,'average',?,?,'yes',?,'bad'
2.0,2.5,3.0,0.0,'tcf',40.0,'none',0.0,0.0,?,11.0,'below_average',?,?,'yes',?,'bad'
2.0,4.0,4.0,0.0,'none',40.0,'none',0.0,3.0,?,10.0,'below_average','no','none',?,'none','bad'
2.0,4.5,4.0,0.0,?,40.0,?,0.0,2.0,'no',10.0,'below_average','no','half',?,'half','bad'
2.0,4.5,4.0,0.0,'none',40.0,?,0.0,5.0,?,11.0,'average',?,'full','yes','full','good'
2.0,4.6,4.6,0.0,'tcf',38.0,?,0.0,0.0,?,0.0,?,'yes','half',?,'half','good'
2.0,5.0,4.5,0.0,'none',38.0,?,14.0,5.0,?,11.0,'below_average','yes',?,?,'full','good'
2.0,5.7,4.5,0.0,'none',40.0,'ret_allw',0.0,0.0,?,11.0,'average','yes','full','yes','full','good'
2.0,7.0,5.3,0.0,?,0.0,?,0.0,0.0,?,11.0,?,'yes','full',?,?,'good'
3.0,2.0,3.0,0.0,'tcf',0.0,'empl_contr',0.0,0.0,'yes',0.0,?,'yes','half','yes',?,'good'
3.0,3.5,4.0,4.5,'tcf',35.0,?,0.0,0.0,?,13.0,'generous',?,?,'yes','full','good'
3.0,4.0,3.5,0.0,'none',40.0,'empl_contr',0.0,6.0,?,11.0,'average','yes','full',?,'full','good'
3.0,5.0,4.4,0.0,'none',38.0,'empl_contr',10.0,6.0,?,11.0,'generous','yes',?,?,'full','good'
3.0,5.0,5.0,5.0,?,40.0,?,0.0,0.0,?,12.0,'average',?,'half','yes','half','good'
3.0,6.0,6.0,4.0,?,35.0,?,0.0,14.0,?,9.0,'generous','yes','full','yes','full','good'
